name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bergstrom International Airport, Austin, Texas",2021-08-22,94.9,70.1,81.4,101.5,70.1,85,71.8,75.9,0,0,0,,0,0,20.8,11.4,188,1014.6,34,9.9,247.7,21.4,9,,2021-08-22T07:02:03,2021-08-22T20:04:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-23,92.9,70.1,81.9,99.1,70.1,85,71.1,72.9,0,0,0,,0,0,21.9,10.3,188.2,1014.6,29.8,9.8,251.8,21.9,8,,2021-08-23T07:02:37,2021-08-23T20:03:20,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-24,93.8,71.1,83.1,99.4,71.1,86.5,71.3,70.8,0,0,0,,0,0,19.7,11.4,182.6,1014.2,29.8,9.9,248.8,21.6,8,,2021-08-24T07:03:11,2021-08-24T20:02:13,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-25,94.9,75.8,84.1,100.7,75.8,88.5,72.4,69.6,0,0,0,,0,0,24.4,8.1,159.6,1014.9,25.1,9.9,227.5,19.4,8,,2021-08-25T07:03:45,2021-08-25T20:01:06,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,TWB37,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-08-26,97.1,76.9,84.8,106.3,76.9,90.8,73.3,70,0,0,0,,0,0,27.7,11.4,132.7,1014,42.8,9.9,212.7,18.5,8,,2021-08-26T07:04:19,2021-08-26T19:59:58,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KRYW,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-27,88.1,73.1,78.4,98.9,73.1,81.4,75.1,90.7,0.012,100,4.17,rain,0,0,36.7,13.9,97.4,1012.7,72.2,9.7,129.7,11.4,5,,2021-08-27T07:04:53,2021-08-27T19:58:50,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72253912979,KATT,KRYW,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-28,92,72,80.5,99.9,72,83.6,73.1,81,0,0,0,,0,0,23,15,112.7,1012.8,74.2,9.9,206.6,17.9,7,,2021-08-28T07:05:26,2021-08-28T19:57:40,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KRYW,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-29,93.8,72,81.4,101.2,72,85.1,73.3,79.6,0,0,0,,0,0,16.3,12.7,45.9,1012,55.3,9.3,218.8,19,8,,2021-08-29T07:06:00,2021-08-29T19:56:31,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KRYW,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-30,91.1,74,82.4,100.5,74,87.4,74.4,78.9,0,0,0,,0,0,21.9,19.7,346.8,1009.2,59.6,9.9,178.8,15.7,6,,2021-08-30T07:06:33,2021-08-30T19:55:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KRYW,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-08-31,96.2,72,84.3,103.1,72,87.9,72.2,71.6,0,0,0,,0,0,20.6,11.4,163.4,1007.1,31.4,9.9,218.9,19,8,,2021-08-31T07:07:07,2021-08-31T19:54:10,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KRYW,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
